Pokedex Number,Pokemon,Link,HP,Attack,Defense,Speed,Special Attack,Special Defense,Stat Total,Variation,Category,Type 1,Type 2,Height (m),Weight (kg),Generation
106,Hitmonlee,https://bulbapedia.bulbagarden.net/wiki/Hitmonlee_(Pok%C3%A9mon),50,120,53,87,35,110,455,,Kicking Pokémon,Fighting,,1.5,49.8,1.0
107,Hitmonchan,https://bulbapedia.bulbagarden.net/wiki/Hitmonchan_(Pok%C3%A9mon),50,105,79,76,35,110,455,,Punching Pokémon,Fighting,,1.4,50.2,1.0
108,Lickitung,https://bulbapedia.bulbagarden.net/wiki/Lickitung_(Pok%C3%A9mon),90,55,75,30,60,75,385,,Licking Pokémon,Normal,,1.2,65.5,1.0
109,Koffing,https://bulbapedia.bulbagarden.net/wiki/Koffing_(Pok%C3%A9mon),40,65,95,35,60,45,340,,Poison Gas Pokémon,Poison,,0.6,1.0,1.0
110,Weezing,https://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon),65,90,120,60,85,70,490,,Poison Gas Pokémon,Poison,,1.2,9.5,1.0
110,Weezing,https://bulbapedia.bulbagarden.net/wiki/Weezing_(Pok%C3%A9mon),65,90,120,60,85,70,490,Galarian Weezing,Poison Gas Pokémon,Poison,,1.2,9.5,1.0
111,Rhyhorn,https://bulbapedia.bulbagarden.net/wiki/Rhyhorn_(Pok%C3%A9mon),80,85,95,25,30,30,345,,Spikes Pokémon,Ground,Rock,1.0,115.0,1.0
112,Rhydon,https://bulbapedia.bulbagarden.net/wiki/Rhydon_(Pok%C3%A9mon),105,130,120,40,45,45,485,,Drill Pokémon,Ground,Rock,1.9,120.0,1.0
113,Chansey,https://bulbapedia.bulbagarden.net/wiki/Chansey_(Pok%C3%A9mon),250,5,5,50,35,105,450,,Egg Pokémon,Normal,,1.1,34.6,1.0
114,Tangela,https://bulbapedia.bulbagarden.net/wiki/Tangela_(Pok%C3%A9mon),65,55,115,60,100,40,435,,Vine Pokémon,Grass,,1.0,35.0,1.0
115,Kangaskhan,https://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon),105,95,80,90,40,80,490,,Parent Pokémon,Normal,,2.2,80.0,1.0
115,Kangaskhan,https://bulbapedia.bulbagarden.net/wiki/Kangaskhan_(Pok%C3%A9mon),105,125,100,100,60,100,590,Mega Kangaskhan,Parent Pokémon,Normal,,2.2,80.0,1.0
116,Horsea,https://bulbapedia.bulbagarden.net/wiki/Horsea_(Pok%C3%A9mon),30,40,70,60,70,25,295,,Dragon Pokémon,Water,,0.4,8.0,1.0
117,Seadra,https://bulbapedia.bulbagarden.net/wiki/Seadra_(Pok%C3%A9mon),55,65,95,85,95,45,440,,Dragon Pokémon,Water,,1.2,25.0,1.0
118,Goldeen,https://bulbapedia.bulbagarden.net/wiki/Goldeen_(Pok%C3%A9mon),45,67,60,63,35,50,320,,Goldfish Pokémon,Water,,0.6,15.0,1.0
119,Seaking,https://bulbapedia.bulbagarden.net/wiki/Seaking_(Pok%C3%A9mon),80,92,65,68,65,80,450,,Goldfish Pokémon,Water,,1.3,39.0,1.0
120,Staryu,https://bulbapedia.bulbagarden.net/wiki/Staryu_(Pok%C3%A9mon),30,45,55,85,70,55,340,,Star Shape Pokémon,Water,,0.8,34.5,1.0
121,Starmie,https://bulbapedia.bulbagarden.net/wiki/Starmie_(Pok%C3%A9mon),60,75,85,115,100,85,520,,Mysterious Pokémon,Water,Psychic,1.1,80.0,1.0
121,Starmie,https://bulbapedia.bulbagarden.net/wiki/Starmie_(Pok%C3%A9mon),60,140,105,120,130,105,660,Mega StarmieZA,Mysterious Pokémon,Water,Psychic,1.1,80.0,1.0
122,Mr. Mime,https://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Pok%C3%A9mon),40,45,65,90,100,120,460,,Barrier Pokémon,Psychic,Fairy,1.3,54.5,1.0
122,Mr. Mime,https://bulbapedia.bulbagarden.net/wiki/Mr._Mime_(Pok%C3%A9mon),50,65,65,100,90,90,460,Galarian Mr. Mime,Barrier Pokémon,Psychic,Fairy,1.3,54.5,1.0
123,Scyther,https://bulbapedia.bulbagarden.net/wiki/Scyther_(Pok%C3%A9mon),70,110,80,105,55,80,500,,Mantis Pokémon,Bug,Flying,1.5,56.0,1.0
124,Jynx,https://bulbapedia.bulbagarden.net/wiki/Jynx_(Pok%C3%A9mon),65,50,35,95,115,95,455,,Human Shape Pokémon,Ice,Psychic,1.4,40.6,1.0
125,Electabuzz,https://bulbapedia.bulbagarden.net/wiki/Electabuzz_(Pok%C3%A9mon),65,83,57,105,95,85,490,,Electric Pokémon,Electric,,1.1,30.0,1.0
126,Magmar,https://bulbapedia.bulbagarden.net/wiki/Magmar_(Pok%C3%A9mon),65,95,57,93,100,85,495,,Spitfire Pokémon,Fire,,1.3,44.5,1.0
127,Pinsir,https://bulbapedia.bulbagarden.net/wiki/Pinsir_(Pok%C3%A9mon),65,125,100,85,55,70,500,,Stag Beetle Pokémon,Bug,,1.5,55.0,1.0
127,Pinsir,https://bulbapedia.bulbagarden.net/wiki/Pinsir_(Pok%C3%A9mon),65,155,120,105,65,90,600,Mega Pinsir,Stag Beetle Pokémon,Bug,,1.5,55.0,1.0
128,Tauros,https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),75,100,95,110,40,70,490,,Wild Bull Pokémon,Normal,,1.4,88.4,1.0
128,Tauros,https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),75,110,105,100,30,70,490,Paldean Tauros (Combat Breed),Wild Bull Pokémon,Normal,,1.4,88.4,1.0
128,Tauros,https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),75,110,105,100,30,70,490,Paldean Tauros (Blaze Breed),Wild Bull Pokémon,Normal,,1.4,88.4,1.0
128,Tauros,https://bulbapedia.bulbagarden.net/wiki/Tauros_(Pok%C3%A9mon),75,110,105,100,30,70,490,Paldean Tauros (Aqua Breed),Wild Bull Pokémon,Normal,,1.4,88.4,1.0
129,Magikarp,https://bulbapedia.bulbagarden.net/wiki/Magikarp_(Pok%C3%A9mon),20,10,55,80,15,20,200,,Fish Pokémon,Water,,0.9,10.0,1.0
130,Gyarados,https://bulbapedia.bulbagarden.net/wiki/Gyarados_(Pok%C3%A9mon),95,125,79,81,60,100,540,,Atrocious Pokémon,Water,Flying,6.5,235.0,1.0
130,Gyarados,https://bulbapedia.bulbagarden.net/wiki/Gyarados_(Pok%C3%A9mon),95,155,109,81,70,130,640,Mega Gyarados,Atrocious Pokémon,Water,Flying,6.5,235.0,1.0
131,Lapras,https://bulbapedia.bulbagarden.net/wiki/Lapras_(Pok%C3%A9mon),130,85,80,60,85,95,535,,Transport Pokémon,Water,Ice,2.5,220.0,1.0
132,Ditto,https://bulbapedia.bulbagarden.net/wiki/Ditto_(Pok%C3%A9mon),48,48,48,48,48,48,288,,Transform Pokémon,Normal,,0.3,4.0,1.0
133,Eevee,https://bulbapedia.bulbagarden.net/wiki/Eevee_(Pok%C3%A9mon),55,55,50,55,45,65,325,,Evolution Pokémon,Normal,,0.3,6.5,1.0
133,Eevee,https://bulbapedia.bulbagarden.net/wiki/Eevee_(Pok%C3%A9mon),65,75,70,75,65,85,435,Partner Eevee,Evolution Pokémon,Normal,,0.3,6.5,1.0
134,Vaporeon,https://bulbapedia.bulbagarden.net/wiki/Vaporeon_(Pok%C3%A9mon),130,65,60,65,110,95,525,,Bubble Jet Pokémon,Water,,1.0,29.0,1.0
135,Jolteon,https://bulbapedia.bulbagarden.net/wiki/Jolteon_(Pok%C3%A9mon),65,65,60,130,110,95,525,,Lightning Pokémon,Electric,,0.8,24.5,1.0
136,Flareon,https://bulbapedia.bulbagarden.net/wiki/Flareon_(Pok%C3%A9mon),65,130,60,65,95,110,525,,Flame Pokémon,Fire,,0.9,25.0,1.0
137,Porygon,https://bulbapedia.bulbagarden.net/wiki/Porygon_(Pok%C3%A9mon),65,60,70,40,85,75,395,,Virtual Pokémon,Normal,,0.8,36.5,1.0
138,Omanyte,https://bulbapedia.bulbagarden.net/wiki/Omanyte_(Pok%C3%A9mon),35,40,100,35,90,55,355,,Spiral Pokémon,Rock,Water,0.4,7.5,1.0
139,Omastar,https://bulbapedia.bulbagarden.net/wiki/Omastar_(Pok%C3%A9mon),70,60,125,55,115,70,495,,Spiral Pokémon,Rock,Water,1.0,35.0,1.0
140,Kabuto,https://bulbapedia.bulbagarden.net/wiki/Kabuto_(Pok%C3%A9mon),30,80,90,55,55,45,355,,Shellfish Pokémon,Rock,Water,0.5,11.5,1.0
141,Kabutops,https://bulbapedia.bulbagarden.net/wiki/Kabutops_(Pok%C3%A9mon),60,115,105,80,65,70,495,,Shellfish Pokémon,Rock,Water,1.3,40.5,1.0
142,Aerodactyl,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon),80,105,65,130,60,75,515,,Fossil Pokémon,Rock,Flying,1.8,59.0,1.0
142,Aerodactyl,https://bulbapedia.bulbagarden.net/wiki/Aerodactyl_(Pok%C3%A9mon),80,135,85,150,70,95,615,Mega Aerodactyl,Fossil Pokémon,Rock,Flying,1.8,59.0,1.0
143,Snorlax,https://bulbapedia.bulbagarden.net/wiki/Snorlax_(Pok%C3%A9mon),160,110,65,30,65,110,540,,Sleeping Pokémon,Normal,,2.1,460.0,1.0
144,Articuno,https://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon),90,85,100,85,95,125,580,,Freeze Pokémon,Ice,Flying,1.7,55.4,1.0
144,Articuno,https://bulbapedia.bulbagarden.net/wiki/Articuno_(Pok%C3%A9mon),90,85,85,95,125,100,580,Galarian Articuno,Freeze Pokémon,Ice,Flying,1.7,55.4,1.0
145,Zapdos,https://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon),90,90,85,100,125,90,580,,Electric Pokémon,Electric,Flying,1.6,52.6,1.0
145,Zapdos,https://bulbapedia.bulbagarden.net/wiki/Zapdos_(Pok%C3%A9mon),90,125,90,100,85,90,580,Galarian Zapdos,Electric Pokémon,Electric,Flying,1.6,52.6,1.0
146,Moltres,https://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon),90,100,90,90,125,85,580,,Flame Pokémon,Fire,Flying,2.0,60.0,1.0
146,Moltres,https://bulbapedia.bulbagarden.net/wiki/Moltres_(Pok%C3%A9mon),90,85,90,90,100,125,580,Galarian Moltres,Flame Pokémon,Fire,Flying,2.0,60.0,1.0
147,Dratini,https://bulbapedia.bulbagarden.net/wiki/Dratini_(Pok%C3%A9mon),41,64,45,50,50,50,300,,Dragon Pokémon,Dragon,,1.8,3.3,1.0
148,Dragonair,https://bulbapedia.bulbagarden.net/wiki/Dragonair_(Pok%C3%A9mon),61,84,65,70,70,70,420,,Dragon Pokémon,Dragon,,4.0,16.5,1.0
149,Dragonite,https://bulbapedia.bulbagarden.net/wiki/Dragonite_(Pok%C3%A9mon),91,134,95,80,100,100,600,,Dragon Pokémon,Dragon,Flying,2.2,210.0,1.0
149,Dragonite,https://bulbapedia.bulbagarden.net/wiki/Dragonite_(Pok%C3%A9mon),91,124,115,100,145,125,700,Mega Dragonite,Dragon Pokémon,Dragon,Flying,2.2,210.0,1.0
150,Mewtwo,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon),106,110,90,130,154,90,680,,Genetic Pokémon,Psychic,,2.0,122.0,1.0
150,Mewtwo,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon),106,190,100,130,154,100,780,Mega Mewtwo X,Genetic Pokémon,Psychic,,2.0,122.0,1.0
150,Mewtwo,https://bulbapedia.bulbagarden.net/wiki/Mewtwo_(Pok%C3%A9mon),106,150,70,140,194,120,780,Mega Mewtwo Y,Genetic Pokémon,Psychic,,2.0,122.0,1.0
151,Mew,https://bulbapedia.bulbagarden.net/wiki/Mew_(Pok%C3%A9mon),100,100,100,100,100,100,600,,New Species Pokémon,Psychic,,0.4,4.0,1.0
152,Chikorita,https://bulbapedia.bulbagarden.net/wiki/Chikorita_(Pok%C3%A9mon),45,49,65,45,49,65,318,,Leaf Pokémon,Grass,,0.9,6.4,2.0
153,Bayleef,https://bulbapedia.bulbagarden.net/wiki/Bayleef_(Pok%C3%A9mon),60,62,80,60,63,80,405,,Leaf Pokémon,Grass,,1.2,15.8,2.0
154,,https://bulbapedia.bulbagarden.net/wiki/Meganium_(Pok%C3%A9mon),80,82,100,80,83,100,525,Meganium,,,,,,2.0
154,,https://bulbapedia.bulbagarden.net/wiki/Meganium_(Pok%C3%A9mon),80,92,115,80,143,115,625,Meganium Mega Meganium,,,,,,2.0
155,Cyndaquil,https://bulbapedia.bulbagarden.net/wiki/Cyndaquil_(Pok%C3%A9mon),39,52,43,65,60,50,309,,Fire Mouse Pokémon,Fire,,0.5,7.9,2.0
156,Quilava,https://bulbapedia.bulbagarden.net/wiki/Quilava_(Pok%C3%A9mon),58,64,58,80,80,65,405,,Volcano Pokémon,Fire,,0.9,19.0,2.0
157,Typhlosion,https://bulbapedia.bulbagarden.net/wiki/Typhlosion_(Pok%C3%A9mon),78,84,78,100,109,85,534,,Volcano Pokémon,Fire,,1.7,79.5,2.0
157,Typhlosion,https://bulbapedia.bulbagarden.net/wiki/Typhlosion_(Pok%C3%A9mon),73,84,78,95,119,85,534,Hisuian Typhlosion,Volcano Pokémon,Fire,,1.7,79.5,2.0
158,Totodile,https://bulbapedia.bulbagarden.net/wiki/Totodile_(Pok%C3%A9mon),50,65,64,43,44,48,314,,Big Jaw Pokémon,Water,,0.6,9.5,2.0
159,Croconaw,https://bulbapedia.bulbagarden.net/wiki/Croconaw_(Pok%C3%A9mon),65,80,80,58,59,63,405,,Big Jaw Pokémon,Water,,1.1,25.0,2.0
160,Feraligatr,https://bulbapedia.bulbagarden.net/wiki/Feraligatr_(Pok%C3%A9mon),85,105,100,78,79,83,530,,Big Jaw Pokémon,Water,,2.3,88.8,2.0
160,Feraligatr,https://bulbapedia.bulbagarden.net/wiki/Feraligatr_(Pok%C3%A9mon),85,160,125,78,89,93,630,Mega Feraligatr,Big Jaw Pokémon,Water,,2.3,88.8,2.0
161,Sentret,https://bulbapedia.bulbagarden.net/wiki/Sentret_(Pok%C3%A9mon),35,46,34,20,35,45,215,,Scout Pokémon,Normal,,0.8,6.0,2.0
162,Furret,https://bulbapedia.bulbagarden.net/wiki/Furret_(Pok%C3%A9mon),85,76,64,90,45,55,415,,Long Body Pokémon,Normal,,1.8,32.5,2.0
163,Hoothoot,https://bulbapedia.bulbagarden.net/wiki/Hoothoot_(Pok%C3%A9mon),60,30,30,50,36,56,262,,Owl Pokémon,Normal,Flying,0.7,21.2,2.0
164,Noctowl,https://bulbapedia.bulbagarden.net/wiki/Noctowl_(Pok%C3%A9mon),100,50,50,70,86,96,452,,Owl Pokémon,Normal,Flying,1.6,40.8,2.0
165,Ledyba,https://bulbapedia.bulbagarden.net/wiki/Ledyba_(Pok%C3%A9mon),40,20,30,55,40,80,265,,Five Star Pokémon,Bug,Flying,1.0,10.8,2.0
166,Ledian,https://bulbapedia.bulbagarden.net/wiki/Ledian_(Pok%C3%A9mon),55,35,50,85,55,110,390,,Five Star Pokémon,Bug,Flying,1.4,35.6,2.0
167,Spinarak,https://bulbapedia.bulbagarden.net/wiki/Spinarak_(Pok%C3%A9mon),40,60,40,30,40,40,250,,String Spit Pokémon,Bug,Poison,0.5,8.5,2.0
168,Ariados,https://bulbapedia.bulbagarden.net/wiki/Ariados_(Pok%C3%A9mon),70,90,70,40,60,70,400,,Long Leg Pokémon,Bug,Poison,1.1,33.5,2.0
169,Crobat,https://bulbapedia.bulbagarden.net/wiki/Crobat_(Pok%C3%A9mon),85,90,80,130,70,80,535,,Bat Pokémon,Poison,Flying,1.8,75.0,2.0
170,Chinchou,https://bulbapedia.bulbagarden.net/wiki/Chinchou_(Pok%C3%A9mon),75,38,38,67,56,56,330,,Angler Pokémon,Water,Electric,0.5,12.0,2.0
171,Lanturn,https://bulbapedia.bulbagarden.net/wiki/Lanturn_(Pok%C3%A9mon),125,58,58,67,76,76,460,,Light Pokémon,Water,Electric,1.2,22.5,2.0
172,Pichu,https://bulbapedia.bulbagarden.net/wiki/Pichu_(Pok%C3%A9mon),20,40,15,60,35,35,205,,Tiny Mouse Pokémon,Electric,,0.3,2.0,2.0
173,Cleffa,https://bulbapedia.bulbagarden.net/wiki/Cleffa_(Pok%C3%A9mon),50,25,28,15,45,55,218,,Star Shape Pokémon,Fairy,,0.3,3.0,2.0
174,Igglybuff,https://bulbapedia.bulbagarden.net/wiki/Igglybuff_(Pok%C3%A9mon),90,30,15,15,40,20,210,,Balloon Pokémon,Normal,Fairy,0.3,1.0,2.0
175,Togepi,https://bulbapedia.bulbagarden.net/wiki/Togepi_(Pok%C3%A9mon),35,20,65,20,40,65,245,,Spike Ball Pokémon,Fairy,,0.3,1.5,2.0
176,Togetic,https://bulbapedia.bulbagarden.net/wiki/Togetic_(Pok%C3%A9mon),55,40,85,40,80,105,405,,Happiness Pokémon,Fairy,Flying,0.6,3.2,2.0
177,Natu,https://bulbapedia.bulbagarden.net/wiki/Natu_(Pok%C3%A9mon),40,50,45,70,70,45,320,,Tiny Bird Pokémon,Psychic,Flying,0.2,2.0,2.0
178,Xatu,https://bulbapedia.bulbagarden.net/wiki/Xatu_(Pok%C3%A9mon),65,75,70,95,95,70,470,,Mystic Pokémon,Psychic,Flying,1.5,15.0,2.0
179,Mareep,https://bulbapedia.bulbagarden.net/wiki/Mareep_(Pok%C3%A9mon),55,40,40,35,65,45,280,,Wool Pokémon,Electric,,0.6,7.8,2.0
180,Flaaffy,https://bulbapedia.bulbagarden.net/wiki/Flaaffy_(Pok%C3%A9mon),70,55,55,45,80,60,365,,Wool Pokémon,Electric,,0.8,13.3,2.0
181,Ampharos,https://bulbapedia.bulbagarden.net/wiki/Ampharos_(Pok%C3%A9mon),90,75,85,55,115,90,510,,Light Pokémon,Electric,,1.4,61.5,2.0
181,Ampharos,https://bulbapedia.bulbagarden.net/wiki/Ampharos_(Pok%C3%A9mon),90,95,105,45,165,110,610,Mega Ampharos,Light Pokémon,Electric,,1.4,61.5,2.0
182,Bellossom,https://bulbapedia.bulbagarden.net/wiki/Bellossom_(Pok%C3%A9mon),75,80,95,50,90,100,490,,Flower Pokémon,Grass,,0.4,5.8,2.0
183,Marill,https://bulbapedia.bulbagarden.net/wiki/Marill_(Pok%C3%A9mon),70,20,50,40,20,50,250,,Aqua Mouse Pokémon,Water,Fairy,0.4,8.5,2.0
184,Azumarill,https://bulbapedia.bulbagarden.net/wiki/Azumarill_(Pok%C3%A9mon),100,50,80,50,60,80,420,,Aqua Rabbit Pokémon,Water,Fairy,0.8,28.5,2.0
185,Sudowoodo,https://bulbapedia.bulbagarden.net/wiki/Sudowoodo_(Pok%C3%A9mon),70,100,115,30,30,65,410,,Imitation Pokémon,Rock,,1.2,38.0,2.0
186,Politoed,https://bulbapedia.bulbagarden.net/wiki/Politoed_(Pok%C3%A9mon),90,75,75,70,90,100,500,,Frog Pokémon,Water,,1.1,33.9,2.0
187,Hoppip,https://bulbapedia.bulbagarden.net/wiki/Hoppip_(Pok%C3%A9mon),35,35,40,50,35,55,250,,Cottonweed Pokémon,Grass,Flying,0.4,0.5,2.0
188,Skiploom,https://bulbapedia.bulbagarden.net/wiki/Skiploom_(Pok%C3%A9mon),55,45,50,80,45,65,340,,Cottonweed Pokémon,Grass,Flying,0.6,1.0,2.0
189,Jumpluff,https://bulbapedia.bulbagarden.net/wiki/Jumpluff_(Pok%C3%A9mon),75,55,70,110,55,95,460,,Cottonweed Pokémon,Grass,Flying,0.8,3.0,2.0
190,Aipom,https://bulbapedia.bulbagarden.net/wiki/Aipom_(Pok%C3%A9mon),55,70,55,85,40,55,360,,Long Tail Pokémon,Normal,,0.8,11.5,2.0
191,Sunkern,https://bulbapedia.bulbagarden.net/wiki/Sunkern_(Pok%C3%A9mon),30,30,30,30,30,30,180,,Seed Pokémon,Grass,,0.3,1.8,2.0
192,Sunflora,https://bulbapedia.bulbagarden.net/wiki/Sunflora_(Pok%C3%A9mon),75,75,55,30,105,85,425,,Sun Pokémon,Grass,,0.8,8.5,2.0
193,Yanma,https://bulbapedia.bulbagarden.net/wiki/Yanma_(Pok%C3%A9mon),65,65,45,95,75,45,390,,Clear Wing Pokémon,Bug,Flying,1.2,38.0,2.0
194,Wooper,https://bulbapedia.bulbagarden.net/wiki/Wooper_(Pok%C3%A9mon),55,45,45,15,25,25,210,,Water Fish Pokémon,Water,Ground,0.4,8.5,2.0
194,Wooper,https://bulbapedia.bulbagarden.net/wiki/Wooper_(Pok%C3%A9mon),55,45,45,15,25,25,210,Paldean Wooper,Water Fish Pokémon,Water,Ground,0.4,8.5,2.0
195,Quagsire,https://bulbapedia.bulbagarden.net/wiki/Quagsire_(Pok%C3%A9mon),95,85,85,35,65,65,430,,Water Fish Pokémon,Water,Ground,1.4,75.0,2.0
196,Espeon,https://bulbapedia.bulbagarden.net/wiki/Espeon_(Pok%C3%A9mon),65,65,60,110,130,95,525,,Sun Pokémon,Psychic,,0.9,26.5,2.0
197,Umbreon,https://bulbapedia.bulbagarden.net/wiki/Umbreon_(Pok%C3%A9mon),95,65,110,65,60,130,525,,Moonlight Pokémon,Dark,,1.0,27.0,2.0
198,Murkrow,https://bulbapedia.bulbagarden.net/wiki/Murkrow_(Pok%C3%A9mon),60,85,42,91,85,42,405,,Darkness Pokémon,Dark,Flying,0.5,2.1,2.0
199,Slowking,https://bulbapedia.bulbagarden.net/wiki/Slowking_(Pok%C3%A9mon),95,75,80,30,100,110,490,,Royal Pokémon,Water,Psychic,2.0,79.5,2.0
199,Slowking,https://bulbapedia.bulbagarden.net/wiki/Slowking_(Pok%C3%A9mon),95,65,80,30,110,110,490,Galarian Slowking,Royal Pokémon,Water,Psychic,2.0,79.5,2.0
200,Misdreavus,https://bulbapedia.bulbagarden.net/wiki/Misdreavus_(Pok%C3%A9mon),60,60,60,85,85,85,435,,Screech Pokémon,Ghost,,0.7,1.0,2.0
201,Unown,https://bulbapedia.bulbagarden.net/wiki/Unown_(Pok%C3%A9mon),48,72,48,48,72,48,336,,Symbol Pokémon,Psychic,,0.5,5.0,2.0
202,Wobbuffet,https://bulbapedia.bulbagarden.net/wiki/Wobbuffet_(Pok%C3%A9mon),190,33,58,33,33,58,405,,Patient Pokémon,Psychic,,1.3,28.5,2.0
203,Girafarig,https://bulbapedia.bulbagarden.net/wiki/Girafarig_(Pok%C3%A9mon),70,80,65,85,90,65,455,,Long Neck Pokémon,Normal,Psychic,1.5,41.5,2.0
204,Pineco,https://bulbapedia.bulbagarden.net/wiki/Pineco_(Pok%C3%A9mon),50,65,90,15,35,35,290,,Bagworm Pokémon,Bug,,0.6,7.2,2.0
205,Forretress,https://bulbapedia.bulbagarden.net/wiki/Forretress_(Pok%C3%A9mon),75,90,140,40,60,60,465,,Bagworm Pokémon,Bug,Steel,1.2,125.8,2.0
206,Dunsparce,https://bulbapedia.bulbagarden.net/wiki/Dunsparce_(Pok%C3%A9mon),100,70,70,45,65,65,415,,Land Snake Pokémon,Normal,,1.5,14.0,2.0
207,Gligar,https://bulbapedia.bulbagarden.net/wiki/Gligar_(Pok%C3%A9mon),65,75,105,85,35,65,430,,Fly Scorpion Pokémon,Ground,Flying,1.1,64.8,2.0
208,Steelix,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon),75,85,200,30,55,65,510,,Iron Snake Pokémon,Steel,Ground,9.2,400.0,2.0
208,Steelix,https://bulbapedia.bulbagarden.net/wiki/Steelix_(Pok%C3%A9mon),75,125,230,30,55,95,610,Mega Steelix,Iron Snake Pokémon,Steel,Ground,9.2,400.0,2.0
209,Snubbull,https://bulbapedia.bulbagarden.net/wiki/Snubbull_(Pok%C3%A9mon),60,80,50,30,40,40,300,,Fairy Pokémon,Fairy,,0.6,7.8,2.0
210,Granbull,https://bulbapedia.bulbagarden.net/wiki/Granbull_(Pok%C3%A9mon),90,120,75,45,60,60,450,,Fairy Pokémon,Fairy,,1.4,48.7,2.0
211,Qwilfish,https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon),65,95,85,85,55,55,440,,Balloon Pokémon,Water,Poison,0.5,3.9,2.0
211,Qwilfish,https://bulbapedia.bulbagarden.net/wiki/Qwilfish_(Pok%C3%A9mon),65,95,85,85,55,55,440,Hisuian Qwilfish,Balloon Pokémon,Water,Poison,0.5,3.9,2.0
212,Scizor,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon),70,130,100,65,55,80,500,,Pincer Pokémon,Bug,Steel,1.8,118.0,2.0
212,Scizor,https://bulbapedia.bulbagarden.net/wiki/Scizor_(Pok%C3%A9mon),70,150,140,75,65,100,600,Mega Scizor,Pincer Pokémon,Bug,Steel,1.8,118.0,2.0
213,Shuckle,https://bulbapedia.bulbagarden.net/wiki/Shuckle_(Pok%C3%A9mon),20,10,230,5,10,230,505,,Mold Pokémon,Bug,Rock,0.6,20.5,2.0
214,Heracross,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon),80,125,75,85,40,95,500,,Single Horn Pokémon,Bug,Fighting,1.5,54.0,2.0
214,Heracross,https://bulbapedia.bulbagarden.net/wiki/Heracross_(Pok%C3%A9mon),80,185,115,75,40,105,600,Mega Heracross,Single Horn Pokémon,Bug,Fighting,1.5,54.0,2.0
215,Sneasel,https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon),55,95,55,115,35,75,430,,Sharp Claw Pokémon,Dark,Ice,0.9,28.0,2.0
215,Sneasel,https://bulbapedia.bulbagarden.net/wiki/Sneasel_(Pok%C3%A9mon),55,95,55,115,35,75,430,Hisuian Sneasel,Sharp Claw Pokémon,Dark,Ice,0.9,28.0,2.0
216,Teddiursa,https://bulbapedia.bulbagarden.net/wiki/Teddiursa_(Pok%C3%A9mon),60,80,50,40,50,50,330,,Little Bear Pokémon,Normal,,0.6,8.8,2.0
217,Ursaring,https://bulbapedia.bulbagarden.net/wiki/Ursaring_(Pok%C3%A9mon),90,130,75,55,75,75,500,,Hibernator Pokémon,Normal,,1.8,125.8,2.0
218,Slugma,https://bulbapedia.bulbagarden.net/wiki/Slugma_(Pok%C3%A9mon),40,40,40,20,70,40,250,,Lava Pokémon,Fire,,0.7,35.0,2.0
219,Magcargo,https://bulbapedia.bulbagarden.net/wiki/Magcargo_(Pok%C3%A9mon),60,50,120,30,90,80,430,,Lava Pokémon,Fire,Rock,0.8,55.0,2.0
220,Swinub,https://bulbapedia.bulbagarden.net/wiki/Swinub_(Pok%C3%A9mon),50,50,40,50,30,30,250,,Pig Pokémon,Ice,Ground,0.4,6.5,2.0
221,Piloswine,https://bulbapedia.bulbagarden.net/wiki/Piloswine_(Pok%C3%A9mon),100,100,80,50,60,60,450,,Swine Pokémon,Ice,Ground,1.1,55.8,2.0
222,Corsola,https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon),65,55,95,35,65,95,410,,Coral Pokémon,Water,Rock,0.6,5.0,2.0
222,Corsola,https://bulbapedia.bulbagarden.net/wiki/Corsola_(Pok%C3%A9mon),60,55,100,30,65,100,410,Galarian Corsola,Coral Pokémon,Water,Rock,0.6,5.0,2.0
223,Remoraid,https://bulbapedia.bulbagarden.net/wiki/Remoraid_(Pok%C3%A9mon),35,65,35,65,65,35,300,,Jet Pokémon,Water,,0.6,12.0,2.0
224,Octillery,https://bulbapedia.bulbagarden.net/wiki/Octillery_(Pok%C3%A9mon),75,105,75,45,105,75,480,,Jet Pokémon,Water,,0.9,28.5,2.0
